id	sex	WrHnd	NWHnd	WHnd	Fold	Clap	height
72	1	19.4	19.5	0	0	0	1.76
73	2	17	16.6	0	0	0	1.71
74	2	16.5	17	0	1	1	1.6764
75	2	15.6	15.8	0	0	1	1.65
76	2	17.5	17.5	0	0.5	0	1.7
77	2	17	17.6	0	1	0	1.65
78	2	18.6	18	0	1	0.5	1.651
79	2	18.3	18.5	0	0	0.5	1.651
80	1	20	20.5	0	1	0	1.8542
81	1	19.5	19.5	1	0	1	NA
82	1	19.2	18.9	0	0	0	1.765
83	2	17.5	17.5	0	0	1	NA
84	2	17	17.4	0	0	0.5	NA
85	1	23	23.5	0	1	0	1.6764
86	2	17.7	17	0	0	0	1.67
87	2	18.2	18	0	1	0	1.6256
88	2	18.3	18.5	0	0	1	1.7
89	1	18	18	0	0.5	0	1.79
90	2	18	17.7	1	0	1	NA
91	1	20.5	20	0	0	1	1.83
92	2	17.5	18	0	0.5	0	NA
93	2	18.2	17.5	0	1	0	1.65
94	2	18.2	18.5	0	0	0	1.68
95	1	21.3	20.8	0	0	0	1.79
96	2	19	18.8	0	1	0	NA
97	1	20	19.5	0	0	0.5	1.9
98	2	17.5	17.5	0	0	0	1.665
99	1	19.5	19.4	0	0.5	0	1.65
100	2	19.4	19.6	0	0	0.5	1.7526
101	1	21.9	22.2	0	0	0	1.87
102	1	18.9	19.1	0	1	0.5	1.7
103	2	16	16	0	0.5	0	1.59
104	2	17.5	17.3	0	0	0	1.75
105	2	17.5	17	0	0	1	1.63
106	2	19.5	18.5	0	0	0	1.7
107	2	16.2	16.4	0	0	0	1.72
108	2	17	15.9	0	0	0	NA
109	1	17.5	17.5	0	1	0.5	1.8
110	1	19.7	20.1	0	0	1	1.8034
111	2	18.5	18.5	0	0	1	1.75
112	1	19.2	19.6	0	1	0	1.905
113	2	17.2	16.7	0	0	0	1.7018
114	1	20.5	21	0	0	0	1.85
115	2	16	15.5	0	1	1	1.6256
116	2	16.9	16	0	1	0	1.58
117	2	17	16.7	0	0	0	1.59
118	1	23	22	1	1	1	1.9304
119	2	18.5	18	1	1	0.5	1.71
120	1	21	20.4	0	1	0	1.84
121	1	20	20	0	0	0.5	NA
122	1	22.5	22.5	0	1	0	1.77
123	2	18.5	18	0	0	0	1.72
124	1	19.8	20	1	1	0	1.8
125	1	18.5	18.1	0	1	1	1.7526
126	1	19.3	19.4	0	0	0	1.8034
127	2	16	16	0	0	0	1.7272
128	1	18.8	19.1	0	1	0.5	1.785
129	2	17.5	17	0	0	0	1.57
130	2	16.4	16.5	0	1	0	1.52
131	1	22	21.5	0	0	0	1.8796
132	1	19	19.5	0	1	0	1.78
133	2	18.9	20	0	0	0	NA
134	2	15.4	16.4	1	1	1	1.6002
135	1	17.9	17.8	0	0	1	1.7526
136	1	23.1	22.5	0	1	0	1.89
137	NA	19.8	19	1	1	0.5	1.72
138	1	22	22	0	1	0	1.8288
139	1	20	19.5	0	1	0	1.7
140	2	19.5	18.5	0	1	0	1.67
141	2	18	18.6	0	0	0	1.75
142	2	18.3	19	0	0	0	1.65
143	2	19	18.8	0	0	0	1.7272
144	1	21.4	21	0	1	0.5	1.8
145	2	20	19.5	1	0	0.5	1.72
146	1	18.5	18.5	0	0	0.5	1.85
147	1	22.5	22.6	0	1	0	1.8796
148	1	19.5	20.2	0	0	0.5	1.8542
149	2	18	18	0	1	0.5	1.65
150	2	18	18.5	0	0	0.5	1.64
151	1	21.8	22.3	0	0	1	1.95
152	2	13	12.5	0	1	0	1.65
153	2	16.3	16.2	0	1	0	1.524
154	1	21.5	21.6	0	0	0	1.7272
155	1	18.9	19.1	0	1	0	1.8034
156	1	20.5	20	0	0	0	1.73
157	1	14	15.5	0	1	0.5	NA
158	2	18.9	19.2	0	1	0	1.6764
159	1	20	20.5	0	0	0	1.8796
160	1	18.5	19	0	1	0	1.87
161	2	17.5	17.1	0	0	1	1.67
162	1	18.1	18.2	1	0.5	0	1.68
163	1	20.2	20.3	0	1	0.5	1.918
164	2	16.5	16.9	0	0	0.5	1.692
165	1	19.1	19.1	0	0.5	0	1.77
166	2	17.6	17.2	0	0	1	1.68
167	2	19.5	19.2	0	0	0	1.7
168	2	16.5	15	0	1	0	1.6002
169	1	19	18.5	0	1	0.5	1.89
170	1	19	18.5	0	0	0	1.8034
171	2	16.5	17	0	1	0	1.68
172	1	20.5	19.5	1	1	0	1.8288
173	2	15.5	15.5	0	0.5	0	NA
174	2	18	17.5	0	0	0.5	1.65
175	2	17.5	18	0	0	0.5	1.5748
176	2	19	18.5	1	1	1	1.7
177	1	20.5	20.5	0	0.5	0	1.7272
178	2	16.7	17	0	1	1	1.64
179	2	20.5	20.5	0	0	1	NA
180	2	17	16.5	0	0	0	1.6256
181	1	19	19.5	0	0	0	1.72
182	2	14	13.5	0	0	0.5	1.651
183	2	17.5	17.6	0	1	0	1.625
184	1	18.5	19	0	1	1	1.7
185	1	18	18.5	0	0.5	0	1.75
186	1	20.5	20.7	0	0	0	1.68
187	2	17	17	0	1	0	1.63
188	1	18.5	18.5	0	0	0	1.65
189	1	18	18.5	0	0	0	1.73
190	1	18.5	18	0	0.5	0.5	1.96
191	1	20	19.5	0	0	0	1.791
192	1	22	22.5	0	1	0	1.8
193	1	17.9	18.4	0	0	1	1.76
194	2	17.6	17.8	0	1	1	1.6002
195	2	16.7	15.1	0	0.5	0	1.5748
196	2	17	17.6	0	1	0	1.65
197	2	15	13	0	0	0.5	1.7018
198	1	16	15.5	0	0.5	0	1.5494
199	2	19.1	19	0	0	0	1.7
200	2	17.5	16.5	0	0	0.5	1.64
201	2	16.2	15.8	0	0	0	1.67
202	1	21	21	0	1	0.5	1.74
203	2	18.8	17.8	0	0	0	NA
204	2	18.5	18	0	0.5	0	1.6
205	1	17	17.5	0	0	0	1.791
206	2	17.5	17	0	0	0.5	1.68
207	2	17.5	17.6	0	1	0	1.535
208	1	17.5	17.6	0	0	0	1.6
209	1	17.5	17	1	1	0.5	1.65
210	2	20.8	20.7	0	0	0.5	1.715
211	2	18.6	18.6	0	1	0	1.6
212	2	17.5	17.5	1	0	0.5	1.63
213	1	18	18.5	0	0	0	NA
214	1	17	17.5	0	0	0	1.65
215	2	18	17.8	0	1	0	1.689
216	1	19.5	20	0	0.5	0	1.7
217	2	16.3	16.2	0	1	0	NA
218	1	18.2	19.8	0	0	0	1.85
219	2	17	17.3	0	1	0.5	1.73
220	1	23.2	23.2	0	1	0	1.88
221	1	23.2	23.3	0	1	0	1.71
222	2	15.9	16.5	0	0	0	1.6764
223	2	17.5	18.4	0	0	0	1.6256
224	2	17.5	17.6	0	1	0	1.5
225	2	17.6	17.2	0	1	0	NA
226	2	17.5	17.8	0	0	0	NA
227	2	18.8	18.3	0	0	0	1.7018
228	1	20	19.8	0	1	0	1.85
229	2	18.6	18.8	0	1	0	1.67
230	1	18.6	19.6	0	1	0	1.85
231	2	18.8	18.5	0	0	0	1.69
232	1	18	16	0	0	0	1.8034
233	2	18	18	0	1	0	1.651
234	2	18.5	18	0	1	0	1.6
235	2	17.5	16.5	0	0	0	1.7
236	1	21	21.5	0	0	0	1.83
237	2	17.6	17.3	0	0	0	1.685
